block,trial,word,color,congruent,rt_ms,response_key,recognized_color,correct,timed_out,no_response
4,7,yellow,blue,False,1616.1,d,red,False,False,False
4,8,blue,blue,True,658.1,f,blue,True,False,False
4,9,yellow,blue,False,719.3,f,blue,True,False,False
4,10,blue,green,False,884.0,j,green,True,False,False
4,11,red,yellow,False,1177.9,k,yellow,True,False,False
4,12,red,green,False,662.3,j,green,True,False,False
4,13,blue,blue,True,513.9,f,blue,True,False,False
4,14,red,red,True,729.6,d,red,True,False,False
4,15,blue,red,False,542.0,d,red,True,False,False
4,16,green,blue,False,1626.4,j,green,False,False,False
4,17,yellow,green,False,651.0,j,green,True,False,False
4,18,yellow,yellow,True,772.4,k,yellow,True,False,False
4,19,yellow,yellow,True,572.2,k,yellow,True,False,False
4,20,blue,blue,True,552.1,f,blue,True,False,False
4,21,blue,blue,True,664.7,f,blue,True,False,False
4,22,red,blue,False,750.2,f,blue,True,False,False
4,23,yellow,yellow,True,789.2,k,yellow,True,False,False
4,24,green,green,True,666.3,j,green,True,False,False
4,25,red,red,True,654.0,d,red,True,False,False
4,26,yellow,blue,False,1924.2,f,blue,True,False,False
4,27,yellow,yellow,True,1442.2,k,yellow,True,False,False
4,28,red,red,True,627.3,d,red,True,False,False
4,29,red,red,True,1226.0,d,red,True,False,False
4,30,yellow,yellow,True,538.1,k,yellow,True,False,False
4,31,green,yellow,False,583.4,k,yellow,True,False,False
4,32,green,red,False,1036.9,d,red,True,False,False
4,33,green,red,False,625.9,d,red,True,False,False
4,34,red,green,False,1307.4,j,green,True,False,False
4,35,yellow,red,False,1001.9,d,red,True,False,False
4,36,red,green,False,1075.6,f,blue,False,False,False
4,37,blue,blue,True,473.3,f,blue,True,False,False
4,38,blue,blue,True,684.5,f,blue,True,False,False
4,39,blue,blue,True,588.6,f,blue,True,False,False
4,40,blue,red,False,586.8,d,red,True,False,False
4,41,blue,red,False,598.2,d,red,True,False,False
4,42,blue,blue,True,640.2,f,blue,True,False,False
4,43,green,yellow,False,1149.7,k,yellow,True,False,False
4,44,red,green,False,732.3,j,green,True,False,False
4,45,yellow,blue,False,672.9,f,blue,True,False,False
4,46,blue,green,False,706.2,j,green,True,False,False
4,47,green,green,True,563.3,j,green,True,False,False
4,48,blue,green,False,655.0,j,green,True,False,False
4,49,red,green,False,693.1,j,green,True,False,False
4,50,blue,green,False,667.6,j,green,True,False,False
4,51,red,blue,False,1217.7,f,blue,True,False,False
4,52,yellow,yellow,True,578.0,k,yellow,True,False,False
