block,trial,word,color,congruent,rt_ms,recognized_text,correct,timed_out,no_response,audio_file,max_rms,onset_offset_in_wav_ms
2,82,green,yellow,False,901.7,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial082.wav,4147.3,951.8
2,83,blue,yellow,False,826.7,,False,True,False,data\voice\audio\1_20260818_215922\block2_trial083.wav,2372.7,871.5
2,84,blue,blue,True,827.1,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial084.wav,4001.2,881.2
2,85,green,yellow,False,786.7,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial085.wav,4221.8,839.9
2,86,green,green,True,738.0,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial086.wav,4734.6,796.1
2,87,blue,green,False,912.7,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial087.wav,4926.1,971.1
2,88,green,green,True,735.0,green,True,False,False,data\voice\audio\1_20260818_215922\block2_trial088.wav,3063.3,792.2
2,89,green,green,True,850.6,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial089.wav,4143.5,901.2
2,90,yellow,yellow,True,824.3,yellow,True,True,False,data\voice\audio\1_20260818_215922\block2_trial090.wav,3341.7,876.7
2,91,blue,blue,True,850.4,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial091.wav,4436.4,908.1
2,92,yellow,yellow,True,710.1,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial092.wav,3389.8,750.4
2,93,green,green,True,852.7,green,True,True,False,data\voice\audio\1_20260818_215922\block2_trial093.wav,5075.4,911.7
2,94,red,blue,False,969.6,blue,True,True,False,data\voice\audio\1_20260818_215922\block2_trial094.wav,4603.7,1024.6
2,95,yellow,yellow,True,707.1,yellow,True,False,False,data\voice\audio\1_20260818_215922\block2_trial095.wav,3144.5,756.1
2,96,yellow,red,False,888.5,red,True,False,False,data\voice\audio\1_20260818_215922\block2_trial096.wav,3320.3,947.6
2,97,red,blue,False,761.9,blue,True,False,False,data\voice\audio\1_20260818_215922\block2_trial097.wav,4612.2,819.7
2,98,yellow,red,False,1151.9,red,True,True,False,data\voice\audio\1_20260818_215922\block2_trial098.wav,2905.2,1209.2
